school_code,school_name,school_type_code,school_type_source_label,school_type_name_ja,school_type_name_en,prefecture_code,prefecture_name,founder_code,founder_source_label,founder_name_ja,founder_name_en,school_status_code,school_status_source_label,school_status_name_ja,school_status_name_en,address,postal_code,attribute_set_date,attribute_abolished_date,obsolete_school_survey_number,successor_school_code,source_file
A101110000012,北海道教育大学附属函館幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,1,1(国),国立,National,1,1(本),本校,Main School,北海道函館市美原３丁目４８番６号,0410806,2020-12-22,,016501,,20260529-mxt_chousa01-000011635_2.csv
A101110000021,北海道教育大学附属旭川幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,1,1(国),国立,National,1,1(本),本校,Main School,北海道旭川市春光５条２丁目１番１号,0700875,2020-12-22,,016502,,20260529-mxt_chousa01-000011635_2.csv
A101210000010,札幌市立手稲中央幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,2,2(公),公立,Public,9,9(廃),廃止,Closed,北海道札幌市手稲区手稲本町２条５丁目１３番１号,0060022,2020-12-22,2025-05-01,016511,,20260529-mxt_chousa01-000011635_2.csv
A101210110017,札幌市立中央幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,2,2(公),公立,Public,1,1(本),本校,Main School,北海道札幌市中央区北２条西１１丁目,0600002,2020-12-22,,017527,,20260529-mxt_chousa01-000011635_2.csv
A101210220014,札幌市立白楊幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,2,2(公),公立,Public,1,1(本),本校,Main School,北海道札幌市北区北２４条西７丁目１番１０号,0010024,2020-12-22,,016608,,20260529-mxt_chousa01-000011635_2.csv
A101210330020,札幌市立ひがしなえぼ幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,2,2(公),公立,Public,9,9(廃),廃止,Closed,北海道札幌市東区東苗穂４条２丁目１－３５,0070804,2020-12-22,2025-05-01,017595,,20260529-mxt_chousa01-000011635_2.csv
A101210440027,札幌市立きくすいもとまち幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,2,2(公),公立,Public,1,1(本),本校,Main School,北海道札幌市白石区菊水元町６条１丁目５番１号,0030826,2020-12-22,,017628,,20260529-mxt_chousa01-000011635_2.csv
A101210550103,札幌市立かっこう幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,2,2(公),公立,Public,1,1(本),本校,Main School,北海道札幌市豊平区月寒東３条７丁目７－２,0620053,2020-12-22,,016611,,20260529-mxt_chousa01-000011635_2.csv
A101210660011,札幌市立もいわ幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,2,2(公),公立,Public,9,9(廃),廃止,Closed,北海道札幌市南区川沿１８条２丁目１番１３号,0050818,2020-12-22,2025-05-01,016613,,20260529-mxt_chousa01-000011635_2.csv
A101210770027,札幌市立はまなす幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,2,2(公),公立,Public,1,1(本),本校,Main School,北海道札幌市西区発寒６条１２丁目４－１０,0630826,2020-12-22,,017629,,20260529-mxt_chousa01-000011635_2.csv
A101210845028,札幌市立あつべつきた幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,2,2(公),公立,Public,9,9(廃),廃止,Closed,北海道札幌市厚別区厚別北３条３丁目１５番３号,0040073,2020-12-22,2025-05-01,017620,,20260529-mxt_chousa01-000011635_2.csv
A101220200017,函館市立戸井幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,2,2(公),公立,Public,1,1(本),本校,Main School,北海道函館市小安町５２３番地７,0410251,2020-12-22,,017559,,20260529-mxt_chousa01-000011635_2.csv
A101220600193,釧路市立認定こども園阿寒幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,2,2(公),公立,Public,1,1(本),本校,Main School,北海道釧路市阿寒町富士見２丁目１０番１号,0850214,2020-12-22,,017372,,20260529-mxt_chousa01-000011635_2.csv
A101220600200,釧路市立マリモ幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,2,2(公),公立,Public,1,1(本),本校,Main School,北海道釧路市阿寒町阿寒湖温泉５－５－７,0850467,2020-12-22,,017373,,20260529-mxt_chousa01-000011635_2.csv
A101220900010,夕張市立ユーパロ幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,2,2(公),公立,Public,9,9(廃),廃止,Closed,北海道夕張市南清水沢４丁目７０番地２,0680536,2020-12-22,2021-05-27,017643,A201320900017,20260529-mxt_chousa01-000011635_2.csv
A101221800019,赤平市立赤平幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,2,2(公),公立,Public,1,1(本),本校,Main School,北海道赤平市幌岡町１１３番地,0791102,2020-12-22,,017613,,20260529-mxt_chousa01-000011635_2.csv
A101233300019,知内町立知内幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,2,2(公),公立,Public,9,9(廃),廃止,Closed,北海道上磯郡知内町字重内２６,0491103,2020-12-22,2022-05-01,017137,A201333300016,20260529-mxt_chousa01-000011635_2.csv
A101234300017,鹿部町立しかべ幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,2,2(公),公立,Public,1,1(本),本校,Main School,北海道茅部郡鹿部町宮浜３１１,0411403,2020-12-22,,017128,,20260529-mxt_chousa01-000011635_2.csv
A101234500015,森町立さわら幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,2,2(公),公立,Public,1,1(本),本校,Main School,北海道茅部郡森町砂原１丁目２７－２,0492222,2020-12-22,,017132,,20260529-mxt_chousa01-000011635_2.csv
A101234500024,森町立森幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,2,2(公),公立,Public,1,1(本),本校,Main School,北海道茅部郡森町字清澄町２７－１,0492327,2020-12-22,,017542,,20260529-mxt_chousa01-000011635_2.csv
A101236700018,奥尻町立奥尻幼稚園,A1,A1(幼稚園),幼稚園,Kindergarten,01,北海道,2,2(公),公立,Public,1,1(本),本校,Main School,北海道奥尻郡奥尻町字奥尻４２８－２,0431401,2020-12-22,,017148,,20260529-mxt_chousa01-000011635_2.csv
