文部科学省　学校コード一覧,,,,,,,,,,更新日：,2026/5/20
学校コード,学校種,都道府県番号,"設置
区分",本分校,学校名,学校所在地,郵便番号,"属性情報
設定年月日","属性情報
廃止年月日","旧学校
調査番号",移行後の学校コード
A122110000017,A1(幼稚園),22(静岡),1(国),1(本),静岡大学教育学部附属幼稚園,静岡県静岡市葵区大岩町１－１０,4200885,2020-12-22,,226501,
A122210000015,A1(幼稚園),22(静岡),2(公),9(廃),沼津市立大平幼稚園,静岡県沼津市大平２２０５－１,4100821,2020-12-22,2025-05-01,226511,
A122210000024,A1(幼稚園),22(静岡),2(公),1(本),熱海市立伊豆山幼稚園,静岡県熱海市伊豆山７１１,4130002,2020-12-22,,226520,
A122210000033,A1(幼稚園),22(静岡),2(公),9(廃),熱海市立網代幼稚園,静岡県熱海市網代２０１,4130103,2020-12-22,2021-05-27,226521,
A122210000042,A1(幼稚園),22(静岡),2(公),1(本),熱海市立多賀幼稚園,静岡県熱海市下多賀９１８－１,4130102,2020-12-22,,226522,
A122210000051,A1(幼稚園),22(静岡),2(公),1(本),熱海市立泉幼稚園,静岡県熱海市泉５２－１,4130001,2020-12-22,,226523,
A122210000060,A1(幼稚園),22(静岡),2(公),1(本),三島市立東幼稚園,静岡県三島市東町１０－１２,4110852,2020-12-22,,226541,
A122210000079,A1(幼稚園),22(静岡),2(公),9(廃),三島市立西幼稚園,静岡県三島市栄町２－１９,4110846,2020-12-22,2021-05-27,226542,
A122210000088,A1(幼稚園),22(静岡),2(公),1(本),三島市立南幼稚園,静岡県三島市青木２６５,4110811,2020-12-22,,226543,
A122210000097,A1(幼稚園),22(静岡),2(公),1(本),三島市立北幼稚園,静岡県三島市文教町１丁目４番１号,4110033,2020-12-22,,226544,
A122210000104,A1(幼稚園),22(静岡),2(公),1(本),三島市立錦田幼稚園,静岡県三島市谷田２７１－１,4110801,2020-12-22,,226545,
A122210000113,A1(幼稚園),22(静岡),2(公),1(本),三島市立徳倉幼稚園,静岡県三島市徳倉４－１－８,4110044,2020-12-22,,226546,
A122210000122,A1(幼稚園),22(静岡),2(公),1(本),三島市立松本幼稚園,静岡県三島市松本９９－１,4110822,2020-12-22,,226547,
A122210000131,A1(幼稚園),22(静岡),2(公),1(本),三島市立坂幼稚園,静岡県三島市市山新田１５３－１,4110015,2020-12-22,,226548,
A122210000140,A1(幼稚園),22(静岡),2(公),1(本),三島市立大場幼稚園,静岡県三島市大場３６５番地,4110803,2020-12-22,,226549,
A122210000159,A1(幼稚園),22(静岡),2(公),1(本),三島市立旭ケ丘幼稚園,静岡県三島市旭ヶ丘２３－３１,4110020,2020-12-22,,226550,
A122210000168,A1(幼稚園),22(静岡),2(公),1(本),三島市立沢地幼稚園,静岡県三島市沢地２５７番地,4110043,2020-12-22,,226551,
A122210000177,A1(幼稚園),22(静岡),2(公),1(本),伊東市立伊東幼稚園,静岡県伊東市桜木町１丁目１番１７号,4140013,2020-12-22,,226570,
A122210000186,A1(幼稚園),22(静岡),2(公),2(分),伊東市立伊東幼稚園湯川分園,静岡県伊東市湯川２丁目１１番３０号,4140002,2020-12-22,,226571,
A122210000195,A1(幼稚園),22(静岡),2(公),1(本),伊東市立竹の台幼稚園,静岡県伊東市竹の台３番１１号,4140026,2020-12-22,,226573,
A122210000202,A1(幼稚園),22(静岡),2(公),1(本),伊東市立鎌田幼稚園,静岡県伊東市岡６６番地の１,4140055,2020-12-22,,226574,
A122210000211,A1(幼稚園),22(静岡),2(公),1(本),伊東市立川奈幼稚園,静岡県伊東市川奈８７８番地の１,4140044,2020-12-22,,226575,
A122210000220,A1(幼稚園),22(静岡),2(公),1(本),伊東市立宇佐美幼稚園,静岡県伊東市宇佐美１６０２番地の２,4140001,2020-12-22,,226576,
A122210000239,A1(幼稚園),22(静岡),2(公),1(本),伊東市立八幡野幼稚園,静岡県伊東市八幡野１１８９番地の５５,4130232,2020-12-22,,226577,
A122210000248,A1(幼稚園),22(静岡),2(公),1(本),伊東市立富戸幼稚園,静岡県伊東市富戸５９４番地,4130231,2020-12-22,,226578,
A122210000257,A1(幼稚園),22(静岡),2(公),1(本),伊東市立池幼稚園,静岡県伊東市池４６９番地の４,4130234,2020-12-22,,226579,
A122210000266,A1(幼稚園),22(静岡),2(公),1(本),伊東市立南幼稚園,静岡県伊東市川奈１１９０番地の３,4140044,2020-12-22,,226580,
A122210000275,A1(幼稚園),22(静岡),2(公),1(本),伊東市立吉田幼稚園,静岡県伊東市吉田４５２番地,4140051,2020-12-22,,226581,
A122210000284,A1(幼稚園),22(静岡),2(公),2(分),伊東市立南幼稚園富士見分園,静岡県伊東市玖須美元和田７２９番地の１,4140045,2020-12-22,,226582,
A122210000293,A1(幼稚園),22(静岡),2(公),1(本),伊東市立荻幼稚園,静岡県伊東市荻１８番地の１,4140053,2020-12-22,,226583,
